STT,Kiểu tiền xử lý,Cấu trúc mạng,Learning rate,Batch size,Epoch tối đa,Điều kiện dừng,Số bước lặp thực tế,Train loss,Validation loss,Test loss,Train accuracy,Validation accuracy,Test accuracy,Thời gian huấn luyện,Nhận xét
1,Min-Max,[8],0.01,16,600,Đạt số epoch tối đa,600,1.528019,1.970924,2.264926,0.465517,0.173913,0.103448,0.388737,Có dấu hiệu overfitting
2,Min-Max,[16],0.005,16,800,Đạt số epoch tối đa,800,1.249282,1.942379,2.310228,0.568966,0.217391,0.137931,0.694085,Có dấu hiệu overfitting
3,Min-Max,[32],0.005,32,800,Đạt số epoch tối đa,800,1.497722,1.960172,1.884209,0.500000,0.260870,0.137931,0.510991,Có dấu hiệu overfitting
4,Min-Max,[32],0.01,32,500,Đạt số epoch tối đa,500,1.335353,1.820721,1.894384,0.500000,0.217391,0.379310,0.310931,Tốt nhất theo test accuracy; nếu bằng test accuracy thì ưu tiên validation accuracy và loss thấp hơn
5,Min-Max,[64],0.01,32,600,Đạt số epoch tối đa,600,1.084007,1.904261,2.063785,0.646552,0.304348,0.172414,0.392761,Có dấu hiệu overfitting
6,Min-Max,"[16, 8]",0.01,16,900,Đạt số epoch tối đa,900,0.490755,1.960184,3.639915,0.879310,0.304348,0.137931,0.767042,Có dấu hiệu overfitting
7,Min-Max,"[32, 16]",0.005,32,1000,Đạt số epoch tối đa,1000,1.394953,2.152299,2.047940,0.534483,0.130435,0.206897,0.579750,Có dấu hiệu overfitting
8,One-hot,[8],0.01,16,700,Đạt số epoch tối đa,700,0.239334,1.986015,2.640477,0.965517,0.173913,0.206897,0.428499,Có dấu hiệu overfitting
9,One-hot,[16],0.005,16,900,Đạt số epoch tối đa,900,0.310837,1.895653,2.513873,0.956897,0.260870,0.206897,0.613347,Có dấu hiệu overfitting
10,One-hot,[32],0.005,32,900,Đạt số epoch tối đa,900,0.445441,1.877731,2.098012,0.965517,0.217391,0.241379,0.598853,Có dấu hiệu overfitting
11,One-hot,"[16, 8]",0.01,16,1000,Đạt số epoch tối đa,1000,0.069008,2.052703,5.258187,1.000000,0.217391,0.310345,0.800281,Có dấu hiệu overfitting
12,One-hot,"[32, 16]",0.005,32,1000,Đạt số epoch tối đa,1000,0.402305,1.892394,2.073115,0.956897,0.304348,0.310345,0.717933,Có dấu hiệu overfitting
13,One-hot,"[64, 16]",0.003,32,1200,Đạt số epoch tối đa,1200,0.647964,1.928008,1.883697,0.922414,0.260870,0.310345,1.133545,Có dấu hiệu overfitting
14,One-hot,[16],0.01,16,1000,Train loss < 1.1,124,1.096423,1.904998,1.967675,0.698276,0.260870,0.344828,0.125208,"Dừng sớm theo ngưỡng loss, khả năng tổng quát chưa tốt"
15,One-hot,[8],0.0001,32,500,Train loss không cải thiện ít nhất 0.01 sau 10 epoch,11,2.163261,2.187758,2.127510,0.068966,0.043478,0.137931,0.007763,Có dấu hiệu underfitting
